"TIME","GEO","GEO_LABEL","UNIT","UNIT_LABEL","Value","Flag and Footnotes"
"2016","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","14,958,253.49",""
"2017","EU28","European Union - 28 countries","MIO_PPS","Million purchasing power standards (PPS)","15,383,066.11",""
"2000","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","273,374.92",""
"2004","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","284,294.33",""
"2005","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","296,848.94",""
"2006","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","308,982.17",""
"2007","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","322,970.14",""
"2008","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","322,745.08",""
"2009","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","312,090.84",""
"2010","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","333,961.65",""
"2011","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","343,801.25",""
"2012","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","356,213.61",""
"2013","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","357,520.93",""
"2014","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","368,546.03",""
"2015","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","386,131.24",""
"2016","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","389,278.04",""
"2017","BE","Belgium","MIO_PPS","Million purchasing power standards (PPS)","396,774.98",""
"2000","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","52,094.49",""
"2004","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","54,003.59",""
"2005","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","56,633.55",""
"2006","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","57,663.38",""
"2007","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","59,524.05",""
"2008","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","58,953.79",""
"2009","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","58,042.93",""
"2010","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","61,917.58",""
"2011","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","64,183.98",""
"2012","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","66,065.74",""
"2013","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","65,792.33",""
"2014","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","66,465.87",""
"2015","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","70,010.9",""
"2016","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","70,062.34",""
"2017","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","70,213.16",""
"2000","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","52,094.49",""
"2004","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","54,003.59",""
"2005","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","56,633.55",""
"2006","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","57,663.38",""
"2007","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","59,524.05",""
"2008","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","58,953.79",""
"2009","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","58,042.93",""
"2010","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","61,917.58",""
"2011","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","64,183.98",""
"2012","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","66,065.74",""
"2013","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","65,792.33",""
"2014","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","66,465.87",""
"2015","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","70,010.9",""
"2016","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","70,062.34",""
"2017","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","MIO_PPS","Million purchasing power standards (PPS)","70,213.16",""
"2000","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","156,434.14",""
"2004","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","162,949.65",""
"2005","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","170,185.23",""
"2006","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","178,188.81",""
"2007","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","187,426.17",""
"2008","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","186,453.97",""
"2009","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","180,051.61",""
"2010","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","192,092.87",""
"2011","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","198,132.61",""
"2012","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","206,525.61",""
"2013","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","208,063.71",""
"2014","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","215,862.46",""
"2015","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","226,399.18",""
"2016","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","229,233.16",""
"2017","BE2","Vlaams Gewest","MIO_PPS","Million purchasing power standards (PPS)","234,770.68",""
"2000","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","51,076.33",""
"2004","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","53,690.82",""
"2005","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","57,009.49",""
"2006","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","58,737.42",""
"2007","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","61,667.05",""
"2008","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","61,590.56",""
"2009","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","58,498.29",""
"2010","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","62,897.89",""
"2011","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","64,882.22",""
"2012","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","67,549.58",""
"2013","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","67,836.22",""
"2014","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","70,421.15",""
"2015","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","74,087.49",""
"2016","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","75,205.92",""
"2017","BE21","Prov. Antwerpen","MIO_PPS","Million purchasing power standards (PPS)","77,495.46",""
"2000","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","17,749.42",""
"2004","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","18,073.77",""
"2005","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","18,443.56",""
"2006","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","19,597.03",""
"2007","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","20,647.1",""
"2008","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","20,790.21",""
"2009","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","19,368.94",""
"2010","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","20,779.69",""
"2011","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","21,764.46",""
"2012","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","22,490.22",""
"2013","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","22,476.62",""
"2014","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","23,572.8",""
"2015","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","24,313.45",""
"2016","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","24,432.87",""
"2017","BE22","Prov. Limburg (BE)","MIO_PPS","Million purchasing power standards (PPS)","25,132.55",""
"2000","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","31,898.93",""
"2004","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","33,244.49",""
"2005","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","34,469.55",""
"2006","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","36,028.18",""
"2007","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","38,156.68",""
"2008","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","37,855.41",""
"2009","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","37,357.72",""
"2010","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","39,793.39",""
"2011","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","41,088.72",""
"2012","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","42,533.99",""
"2013","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","42,910.28",""
"2014","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","44,345.99",""
"2015","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","47,126.46",""
"2016","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","47,592.21",""
"2017","BE23","Prov. Oost-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","48,669.21",""
"2000","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","27,717.52",""
"2004","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","28,984.08",""
"2005","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","30,297.28",""
"2006","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","32,107.38",""
"2007","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","33,592.56",""
"2008","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","33,482.69",""
"2009","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","33,287.11",""
"2010","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","34,934.11",""
"2011","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","35,754.32",""
"2012","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","37,912.02",""
"2013","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","38,411.67",""
"2014","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","39,418.24",""
"2015","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","41,420.08",""
"2016","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","42,044.96",""
"2017","BE24","Prov. Vlaams-Brabant","MIO_PPS","Million purchasing power standards (PPS)","42,568.7",""
"2000","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","27,991.95",""
"2004","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","28,956.5",""
"2005","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","29,965.35",""
"2006","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","31,718.8",""
"2007","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","33,362.78",""
"2008","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","32,735.1",""
"2009","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","31,539.54",""
"2010","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","33,687.79",""
"2011","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","34,642.88",""
"2012","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","36,039.8",""
"2013","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","36,428.92",""
"2014","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","38,104.27",""
"2015","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","39,451.7",""
"2016","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","39,957.21",""
"2017","BE25","Prov. West-Vlaanderen","MIO_PPS","Million purchasing power standards (PPS)","40,904.76",""
"2000","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","64,569.48",""
"2004","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","67,131.25",""
"2005","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","69,861.32",""
"2006","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","72,965.12",""
"2007","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","75,852.23",""
"2008","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","77,168.22",""
"2009","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","73,823.48",""
"2010","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","79,727.31",""
"2011","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","81,254.89",""
"2012","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","83,377.32",""
"2013","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","83,417.8",""
"2014","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","85,969.44",""
"2015","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","89,477.91",""
"2016","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","89,816.58",""
"2017","BE3","Région wallonne","MIO_PPS","Million purchasing power standards (PPS)","91,616.28",""
"2000","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","9,440.23",""
"2004","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","10,155.51",""
"2005","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","10,678.98",""
"2006","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","11,175.53",""
"2007","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","11,789.64",""
"2008","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","12,375.14",""
"2009","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","11,823.96",""
"2010","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","13,881.45",""
"2011","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","12,945.13",""
"2012","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","13,298.78",""
"2013","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","13,532.8",""
"2014","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","14,358.86",""
"2015","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","15,337.87",""
"2016","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","15,455.37",""
"2017","BE31","Prov. Brabant Wallon","MIO_PPS","Million purchasing power standards (PPS)","15,794.07",""
"2000","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","22,429.73",""
"2004","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","23,062.47",""
"2005","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","23,900.46",""
"2006","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","24,753.13",""
"2007","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","25,670.26",""
"2008","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","26,044.7",""
"2009","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","24,524.3",""
"2010","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","26,066.27",""
"2011","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","27,117.29",""
"2012","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","27,789.19",""
"2013","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","27,723.23",""
"2014","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","28,439.2",""
"2015","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","29,463.13",""
"2016","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","29,465.19",""
"2017","BE32","Prov. Hainaut","MIO_PPS","Million purchasing power standards (PPS)","30,004.6",""
"2000","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2001","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2002","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)",":",""
"2003","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)","19,776.68",""
"2004","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)","20,551.72",""
"2005","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)","21,354.66",""
"2006","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)","22,306.26",""
"2007","BE33","Prov. Liège","MIO_PPS","Million purchasing power standards (PPS)","23,241.69",""
